#delimieter: ,
#columns:type,person1,person2,forum,forum_event,publication,topic,date,lat,lon
#types:STRING,UINT,UINT,UINT,UINT,UINT,UINT,USDATE,DOUBLE,DOUBLE
Publication,,,,,102583151124020340,,4/1/2013,,
Publication,,,,,1535560814470027553,,8/1/2016,,
Publication,,,,,964200931450858755,,7/12/2016,,
Publication,,,,,882398257230700413,,11/1/2016,,
Publication,,,,,331512399306794233,,1/1/2017,,
Publication,,,,,945272392604235968,,8/22/2017,,
Publication,,,,,151719636113613051,,1/1/2014,,
Publication,,,,,1262680045724451909,,8/8/2018,,
Publication,,,,,1120075482544780713,,12/1/2016,,
Publication,,,,,243639114384933459,,12/1/2013,,
Publication,,,,,639593259501530220,,6/1/2016,,
Publication,,,,,445341351326743491,,8/1/2016,,
Publication,,,,,1568451351280245710,,1/1/2018,,
Publication,,,,,1403531120230982133,,7/30/2015,,
Publication,,,,,1433303251800176474,,1/1/2014,,
Publication,,,,,928214597536271245,,5/24/2012,,
Publication,,,,,738337532550620427,,9/1/2017,,
Publication,,,,,1652811055020272471,,5/1/2019,,
Publication,,,,,1059300068140049989,,4/1/2019,,
Publication,,,,,236159544523914731,,1/1/2019,,
Publication,,,,,934114576516125004,,11/1/2018,,
Publication,,,,,426261506651450656,,9/1/2012,,
Publication,,,,,1332603359109218366,,6/8/2015,,
Publication,,,,,1419109241450455650,,11/27/2017,,
Publication,,,,,702741311357040807,,3/1/2008,,
Publication,,,,,527455329234207462,,1/1/2010,,
Publication,,,,,1528444584420255452,,9/12/2017,,
Publication,,,,,220355959301206437,,3/21/2017,,
Publication,,,,,16578223365718410,,4/22/2016,,
Publication,,,,,457124922397034680,,2/1/2017,,
ForumEvent,,,1372844135435303981,1651365355351122204,,,1/7/2019,,
ForumEvent,,,1615340315424362057,396231602656237319,,,1/4/2018,,
ForumEvent,,,1615340315424362057,175651594314152210,,,1/8/2018,,
ForumEvent,,,1615340315424362057,1561206628428143073,,,1/12/2018,,
ForumEvent,,,1615340315424362057,1586137456755165326,,,1/17/2018,,
ForumEvent,,,1615340315424362057,1062753252028020849,,,1/20/2018,,
ForumEvent,,,1615340315424362057,857521100729489634,,,1/24/2018,,
ForumEvent,,,1615340315424362057,83651483855054611,,,1/28/2018,,
ForumEvent,,,15133734353741126,313092664532161315,,,1/4/2018,,
ForumEvent,,,1372844135435303981,1060309546214304182,,,1/3/2018,,
